lambda_0,window_id,reported_cefi,reported_q_star,q1_feasible_cefi,absolute_witness_gap
0.2,8,0.0009627179967471519,15,0.059052558960803365,0.058089840964056214
0.2,9,0.0010327699143718658,27,0.04508594586947539,0.044053175955103524
0.2,10,0.00037642752508334695,22,0.03707407419065151,0.03669764666556816
0.2,11,0.0009062933648975868,27,0.039361221237552965,0.03845492787265538
0.2,12,0.0005344353678556971,27,0.03220448471747795,0.031670049349622253
0.2,13,0.0011369274628342044,27,0.03753401166927942,0.03639708420644522
0.2,14,0.0014375211458177786,24,0.053914125211975875,0.052476604066158096
0.2,15,0.014925342983737974,6,0.05574474832026137,0.040819405336523396
0.2,16,0.0007719522401932466,25,0.029473306797709438,0.02870135455751619
0.2,17,0.0004362257672155083,25,0.029832312968472448,0.02939608720125694
0.3,0,0.007338282357052368,3,0.07811516491747039,0.07077688256041803
0.3,1,0.0003078965130646552,24,0.05158334652131054,0.05127545000824588
0.3,2,0.0008725534647701892,23,0.04201378531747615,0.04114123185270596
0.3,3,0.00022437247175520134,27,0.024695736418268884,0.024471363946513683
0.3,4,0.00020760904157202456,29,0.021997889943506977,0.021790280901934952
0.3,5,6.597504697489209e-05,28,0.03331577309880664,0.03324979805183175
0.3,6,0.0002920794781486602,29,0.0267562756844668,0.02646419620631814
0.3,7,0.000282993933029458,28,0.01910752683564484,0.018824532902615383
0.3,8,0.00014223736570547277,28,0.037894145885857114,0.037751908520151645
0.3,9,0.0001443673407280771,27,0.027847141357424478,0.0277027740166964
0.3,10,0.00013742865090370093,29,0.021791533070815737,0.021654104419912036
0.3,11,0.0001809915886917049,27,0.0233901534343009,0.023209161845609196
0.3,12,0.00011960442643002209,27,0.019174959942372817,0.019055355515942795
0.3,13,0.00040208286530737936,27,0.02354512332683149,0.02314304046152411
0.3,14,0.000286001841122166,24,0.03737279921153286,0.03708679737041069
0.3,15,0.0038482291277068953,16,0.04304242535611037,0.03919419622840348
0.3,16,0.00016216787204392444,28,0.01959769531725032,0.019435527445206397
0.3,17,0.00017268287284628175,29,0.018855419452650384,0.018682736579804102
0.5,0,0.0001899978302917736,23,0.04872431216017521,0.048534314329883435
0.5,1,-3.210547209819489e-05,28,0.032878225978079045,0.032910331450177244
0.5,2,0.00015821455371382506,28,0.025779176329534435,0.02562096177582061
0.5,3,9.934977026922545e-06,29,0.014081667214221898,0.014071732237194975
