,SOI,NAO,PDO,AO,AMO,NINO34,PNA,WP,EA,EPO
1951-01,2.5,-0.42,-1.54,-0.085,0.096,26.04,-1.18,-0.07,-0.74,-0.81
1951-02,1.5,0.35,-1.06,-0.4,-0.008,26.65,-2.11,-0.58,-1.66,-1.32
1951-03,-0.2,-1.47,-1.9,-1.934,0.006,27.34,-1.09,-0.29,0.11,0.2
1951-04,-0.5,-0.38,-0.36,-0.776,0.162,27.88,0.47,-0.19,-2.31,0.02
1951-05,-1.1,-0.5,-0.25,-0.863,0.166,28.15,1.19,0.7,0.93,-0.04
1951-06,0.3,-1.35,-1.09,-0.918,0.283,28.13,-0.54,0.1,1.91,-0.62
1951-07,-1.7,1.39,0.7,0.09,0.415,27.97,-0.44,0.88,-0.86,0.98
1951-08,-0.4,-0.41,-1.37,-0.377,0.297,27.89,0.02,0.73,-3.26,0.41
1951-09,-1.8,-1.18,-0.08,-0.818,0.243,27.75,-0.08,-3.45,-0.26,1.42
1951-10,-1.6,2.54,-0.32,-0.213,0.252,27.96,0.43,-0.47,0.59,-0.11
1951-11,-1.3,-0.54,-0.28,-0.069,0.168,27.77,0.21,0.62,0.48,0.62
1952-01,-1.5,0.57,-2.01,0.368,0.165,27.36,-3.19,1.43,-1.07,1.59
1952-02,-1.0,-1.38,-0.46,-1.747,0.176,27.34,0.08,0.88,-1.46,-1.09
1952-03,0.9,-1.97,-0.63,-1.86,0.224,27.31,-0.69,0.06,0.16,-2.13
1952-04,-0.4,0.95,-1.05,0.538,0.184,28.3,0.89,0.28,0.12,-2.44
1952-05,1.2,-0.99,-1.0,-0.773,0.174,27.92,-0.79,0.93,0.24,0.06
1952-06,1.2,-0.1,-1.43,-0.441,0.376,27.24,0.53,1.08,-0.4,-0.25
1952-07,0.8,-0.06,-1.25,0.383,0.366,27.0,-1.57,-1.02,-1.26,1.3
1952-08,0.1,-0.49,-0.6,-0.03,0.397,27.0,0.77,-1.43,-0.95,1.35
1952-09,-0.4,-0.38,-0.89,-0.383,0.355,27.03,0.4,-1.94,-1.68,0.35
1952-10,0.6,-0.28,-0.35,-0.437,0.348,27.19,1.05,1.39,-0.42,1.1
1952-11,0.0,-1.32,-0.76,-1.891,0.244,26.89,0.77,0.61,-1.55,-0.62
1953-01,0.5,-0.12,-0.57,-1.036,0.258,27.44,0.18,-1.24,0.84,0.24
1953-02,-0.8,-1.0,-0.07,-0.249,0.178,27.43,1.04,1.38,-0.25,-1.51
1953-03,-0.3,-0.45,-1.12,1.068,0.134,27.61,-0.44,0.58,1.73,-2.29
1953-04,0.3,-1.96,0.05,-1.256,0.306,28.38,0.78,-1.86,-1.66,-0.07
1953-05,-2.8,-0.56,0.43,-0.562,0.335,28.53,1.14,-0.51,0.09,-0.63
1953-06,0.2,1.41,0.29,0.022,0.268,28.56,-1.6,-0.57,-0.71,3.88
1953-07,-0.0,0.43,0.74,0.333,0.337,27.96,0.27,-1.1,-0.71,0.99
1953-08,-2.0,-1.04,0.05,0.085,0.251,27.54,-1.15,1.04,-1.41,-0.54
1953-09,-2.1,-0.19,-0.63,0.662,0.273,27.94,-0.14,-0.86,0.58,0.12
1953-10,0.1,1.95,-1.09,-0.195,0.141,27.3,2.27,0.36,0.0,-0.52
1953-11,-0.5,0.96,-0.03,0.354,0.237,27.77,1.57,-0.44,0.16,-2.15
1954-01,1.1,-0.08,-1.32,-0.148,0.22,27.26,-2.11,-0.26,0.52,0.6
1954-02,-0.5,0.4,-1.61,-0.181,0.088,27.49,-0.48,-0.67,0.03,-1.75
1954-03,0.4,-1.27,-0.52,0.476,0.093,27.36,-1.44,0.66,0.48,1.51
1954-04,1.1,1.31,-1.33,0.512,-0.021,27.4,-2.86,-0.53,-0.29,0.08
1954-05,0.8,-0.03,0.01,-1.656,0.062,27.69,0.65,1.39,-2.13,0.2
1954-06,0.2,0.06,0.97,-0.268,0.092,27.4,0.09,-1.63,0.58,-1.64
1954-07,0.7,-0.57,0.43,0.341,-0.052,26.93,-0.14,-0.34,-1.5,-1.79
1954-08,1.8,-2.57,0.08,-0.122,-0.022,26.33,-0.11,1.89,0.29,0.83
1954-09,0.3,-0.28,-0.94,0.301,-0.018,26.09,-0.04,0.94,-1.04,0.31
1954-10,0.4,1.16,0.52,0.513,-0.04,26.69,0.99,-2.15,0.34,-0.53
1954-11,0.2,0.29,0.72,-0.328,-0.034,26.53,1.38,-0.88,-0.51,-0.48
1955-01,-0.9,-2.65,0.2,-1.163,0.068,26.5,-0.14,0.4,-0.79,-1.32
1955-02,3.1,-1.71,-1.52,-1.542,0.033,26.51,-2.62,-0.66,-1.69,-1.71
1955-03,1.1,-0.96,-1.26,-1.568,0.034,26.76,-2.47,0.51,0.25,-0.13
1955-04,-0.2,-0.6,-1.97,0.194,0.088,27.13,-0.24,1.18,-0.01,-1.35
1955-05,1.7,-0.26,-1.21,0.242,0.169,26.89,-0.42,-0.26,0.92,-1.61
1955-06,2.2,-0.8,-2.44,-0.266,0.186,27.23,0.11,0.7,1.43,-2.84
1955-07,2.6,1.78,-2.35,0.332,0.261,26.45,-1.32,1.72,0.55,-1.49
1955-08,2.4,1.25,-2.25,0.76,0.167,26.57,-0.55,-1.19,1.44,0.61
1955-09,2.2,0.46,-1.95,0.357,0.195,25.99,-0.22,1.29,-1.21,-0.15
1955-10,2.5,-1.09,-2.8,0.099,0.271,25.45,0.51,1.2,-0.39,-1.09
1955-11,2.0,-1.49,-3.08,-1.342,0.378,25.43,-0.93,-1.13,0.62,-0.37
1956-01,2.2,-0.76,-2.48,-1.204,0.179,25.72,-2.34,-2.87,-0.74,-0.39
1956-02,2.7,-1.71,-2.74,-2.029,0.087,26.46,-1.69,-1.65,-0.89,-1.99
1956-03,2.2,-0.46,-2.56,0.47,0.006,26.94,-0.97,0.11,0.33,-1.13
1956-04,1.5,-1.3,-2.17,-0.868,0.056,27.29,-0.17,0.73,-0.08,0.29
1956-05,2.3,2.1,-1.41,1.391,-0.066,27.54,-0.17,2.0,0.61,-0.05
1956-06,1.8,0.41,-1.7,0.28,-0.272,27.37,-0.08,-0.81,-1.47,-1.95
1956-07,1.8,-0.72,-1.03,-0.215,-0.098,26.94,-1.28,0.58,1.13,0.48
1956-08,2.0,-1.89,-1.16,-0.652,-0.106,26.57,-0.23,0.5,-0.16,1.92
1956-09,0.1,0.38,-0.71,-0.202,-0.097,26.48,0.42,-0.38,2.61,0.98
1956-10,2.9,1.47,-2.3,1.139,-0.051,26.57,-2.16,1.65,0.53,-1.43
1956-11,0.2,0.4,-2.11,-0.066,-0.095,26.48,1.0,-1.3,-1.51,-0.82
1957-01,1.0,0.71,-1.82,2.062,-0.089,26.77,-2.18,-0.47,0.69,1.42
1957-02,-0.1,-0.32,-0.68,-1.513,-0.114,27.1,-1.89,-1.96,-1.73,-0.98
1957-03,0.3,-1.73,0.03,-2.013,-0.027,27.61,0.78,-1.42,0.45,-0.56
1957-04,0.4,0.39,-0.58,0.238,-0.082,28.37,-0.41,0.52,-0.48,0.26
1957-05,-1.1,-0.68,0.57,-0.966,-0.129,28.72,1.24,0.46,-1.42,0.85
1957-06,0.3,-0.42,1.76,-0.76,-0.02,28.2,0.24,-2.0,2.45,1.71
1957-07,0.4,-1.16,0.72,-0.646,0.032,28.07,-0.11,-0.73,-0.54,-1.03
1957-08,-0.8,-0.83,0.51,0.097,0.194,28.3,-0.99,1.87,-1.81,0.49
1957-09,-1.5,-1.47,1.59,-0.956,0.213,27.76,-0.22,-1.76,-1.79,1.78
1957-10,0.1,1.95,1.5,0.903,0.141,28.01,0.46,1.13,0.57,0.84
1957-11,-1.6,0.63,-0.32,-1.38,0.076,28.12,0.49,-0.49,1.15,0.6
1958-01,-3.1,-1.14,0.25,-1.438,0.04,28.53,0.62,0.26,-0.21,-0.38
1958-02,-0.8,-1.64,0.62,-2.228,0.18,28.61,0.36,-1.33,-0.14,0.13
1958-03,0.4,-2.46,0.25,-2.522,0.336,28.52,0.18,0.76,2.15,0.45
1958-04,0.6,0.26,1.06,-0.36,0.338,28.45,0.31,0.89,0.38,0.73
1958-05,-0.8,-0.17,1.28,-0.336,0.193,28.53,0.66,1.91,-0.24,0.11
1958-06,0.5,-1.08,1.33,-1.149,0.213,28.31,1.48,1.51,0.38,3.0
1958-07,0.7,-1.69,0.89,-0.684,0.156,27.83,0.74,1.62,2.08,1.51
1958-08,1.5,-2.13,1.06,-0.755,0.152,27.64,2.13,-0.16,-0.81,0.14
1958-09,-0.5,0.08,0.29,-0.012,0.204,27.27,-0.05,-1.67,3.31,-0.13
1958-10,0.1,0.68,0.01,0.77,0.143,27.29,0.34,1.16,0.55,-0.29
1958-11,-0.7,1.59,-0.18,-0.011,0.176,27.47,0.08,1.34,0.56,0.73
1959-01,-1.5,-1.52,0.69,-2.013,0.091,27.72,-1.54,-0.91,-0.87,1.62
1959-02,-2.3,0.33,-0.43,2.545,0.106,27.62,-1.23,0.74,2.2,0.04
1959-03,2.1,-0.56,-0.95,1.432,-0.036,27.77,0.21,-0.51,0.39,-2.03
1959-04,0.7,0.25,-0.02,0.119,-0.013,28.21,-0.9,-0.05,-0.07,0.22
1959-05,0.8,0.41,0.23,-0.341,-0.002,28.33,-0.3,-0.64,-0.12,0.3
1959-06,-0.2,0.71,0.44,-0.033,-0.068,27.74,1.08,-1.05,0.82,1.19
1959-07,-0.4,0.77,-0.5,0.105,-0.041,27.22,-0.45,-0.72,0.57,-0.14
1959-08,-0.2,-0.05,-0.62,-0.745,0.003,27.02,1.03,-1.67,1.03,0.34
1959-09,0.0,1.0,-0.85,-0.281,0.116,26.93,1.19,-1.58,3.68,-0.43
1959-10,0.8,1.48,0.52,-0.249,0.103,27.13,0.23,-1.99,1.84,1.03
1959-11,1.5,0.3,1.11,-1.411,0.042,27.08,0.26,-1.31,-0.88,1.43
1960-01,0.2,-2.01,0.3,-2.484,0.167,26.77,-0.16,-0.03,0.06,-0.76
1960-02,0.2,-2.59,0.52,-2.212,0.207,26.89,-0.22,0.54,0.15,0.52
1960-03,1.7,-0.93,-0.21,-1.625,0.079,27.4,-0.69,-1.48,3.27,0.12
1960-04,1.3,1.33,0.09,-0.297,0.088,27.85,-0.07,-0.21,-0.6,-0.39
1960-05,0.9,0.47,0.91,-0.857,0.293,27.93,0.99,-0.1,-1.3,-0.74
1960-06,0.2,0.1,0.64,0.055,0.31,27.6,1.2,0.45,0.02,-0.71
1960-07,0.8,0.38,-0.27,-0.619,0.261,27.31,1.11,0.02,0.86,0.65
1960-08,1.3,-1.93,-0.38,-1.008,0.326,27.17,1.85,0.6,1.58,-0.08
1960-09,1.1,0.53,-0.94,-0.382,0.201,27.13,-0.01,0.4,-0.81,0.02
1960-10,0.2,-1.37,0.09,-1.187,0.287,26.96,0.48,0.84,0.59,0.38
1960-11,0.9,-0.67,-0.23,-0.553,0.241,26.84,-0.52,-0.51,0.81,-0.4
1961-01,-0.4,-0.03,1.18,-1.506,0.051,26.87,1.16,-0.61,-0.52,1.09
1961-02,1.5,0.07,0.43,0.621,0.071,27.06,0.17,-1.26,0.19,-1.5
1961-03,-3.0,0.17,0.09,0.341,0.139,27.2,0.28,-0.16,-0.62,-1.47
1961-04,1.3,-1.83,0.34,-0.237,0.217,27.64,-1.14,0.37,1.25,0.6
1961-05,0.5,-0.28,-0.06,0.158,0.184,27.9,-0.25,1.44,-0.38,0.26
1961-06,0.2,1.17,-0.61,0.837,0.023,28.0,1.84,1.47,-1.36,-0.61
1961-07,0.4,-0.36,-1.22,-0.108,-0.029,27.31,-0.52,2.13,0.36,-0.76
1961-08,0.2,1.03,-1.13,0.013,0.026,26.85,0.47,0.88,0.69,0.31
1961-09,0.1,1.36,-2.01,0.815,-0.007,26.6,1.1,1.09,1.78,-0.91
1961-10,-0.5,1.07,-2.28,0.203,0.019,26.57,-1.94,0.69,-1.05,-0.75
1961-11,0.9,-0.79,-1.85,-0.01,0.057,26.89,-0.4,0.14,-0.16,-1.92
1962-01,3.3,0.2,-1.29,1.644,0.139,26.49,-0.74,-1.92,-0.62,0.74
1962-02,-0.5,0.18,-1.15,-0.358,0.142,26.72,-0.54,-0.13,-0.12,1.66
1962-03,0.2,-2.99,-1.42,-2.848,0.155,27.13,-0.71,-0.3,-0.33,0.25
1962-04,0.3,0.93,-0.8,1.169,0.077,27.56,-1.5,-1.18,-0.29,0.56
1962-05,1.8,-0.04,-1.22,0.068,0.013,27.47,-1.11,0.24,0.24,0.26
1962-06,1.2,0.47,-1.62,0.287,-0.081,27.55,-0.97,2.0,1.01,0.26
1962-07,0.1,-2.43,-1.46,-0.926,-0.018,27.3,-0.36,1.13,-0.42,0.16
1962-08,1.0,0.05,-0.48,0.152,-0.073,27.03,0.57,1.6,1.4,-0.22
1962-09,0.7,-0.21,-1.58,-0.056,-0.006,26.65,-0.83,0.41,-0.13,-0.15
1962-10,1.6,0.96,-1.55,-0.016,0.055,26.72,1.33,0.62,1.19,0.1
1962-11,0.5,-0.38,-0.37,-1.112,0.036,26.69,0.53,0.16,-2.0,-0.5
1963-01,1.7,-2.98,-0.33,-3.311,0.147,26.41,0.09,-3.28,-0.09,1.0
1963-02,0.9,-1.53,-0.16,-1.721,0.155,26.74,0.79,-2.32,-1.07,1.07
1963-03,1.9,-0.85,-0.54,0.724,0.123,27.32,-2.04,-0.93,2.08,-1.31
1963-04,1.3,-1.61,-0.41,-0.348,0.093,27.84,-0.79,0.96,-0.46,-0.25
1963-05,0.6,2.05,-0.65,0.771,-0.095,27.87,-0.95,2.03,-1.84,0.57
1963-06,-0.8,-0.13,-0.88,-0.585,-0.058,27.62,0.5,2.72,0.97,-2.46
1963-07,-0.2,-0.74,-1.0,-0.303,-0.046,28.24,-1.1,1.99,0.85,-1.71
1963-08,0.0,-0.95,-1.03,-0.625,-0.084,27.91,-1.01,0.96,-0.08,1.74
1963-09,-1.0,1.89,0.45,0.083,-0.213,27.87,0.87,-0.12,-0.77,1.02
1963-10,-2.0,1.53,-0.52,1.069,-0.082,27.96,0.93,1.47,0.6,-1.47
1963-11,-1.4,-1.47,-2.08,-0.419,-0.068,27.8,-0.31,-1.45,0.51,-0.95
1964-01,-0.6,-1.62,0.01,0.385,-0.086,27.64,-0.44,-0.16,2.14,-1.95
1964-02,0.1,-2.06,-0.21,-0.575,0.01,27.53,1.36,0.01,-0.23,-2.52
1964-03,1.9,-1.66,-0.87,-0.558,0.028,27.29,-1.31,-0.29,1.42,-1.39
1964-04,1.8,0.25,-1.03,0.663,-0.157,27.48,-1.3,1.99,0.93,-2.03
1964-05,0.4,0.53,-1.91,1.174,0.03,27.3,-2.27,0.19,0.7,0.33
1964-06,1.2,1.61,-0.32,0.142,-0.007,27.02,0.27,-0.88,1.77,1.9
1964-07,0.9,1.92,-0.51,0.734,-0.155,26.8,0.2,1.86,0.36,-2.58
1964-08,2.5,-2.4,-1.03,-1.207,-0.245,26.35,0.83,1.23,3.04,0.78
1964-09,2.1,0.34,-0.68,-0.227,-0.231,26.03,0.92,0.46,0.8,0.16
1964-10,2.2,1.32,-0.37,0.342,-0.282,26.23,0.8,1.41,-0.42,0.17
1964-11,0.3,-0.14,-0.8,-0.344,-0.177,25.96,-0.78,-0.79,0.86,-0.74
1965-01,-0.7,-0.65,-1.24,-1.046,-0.21,26.34,-0.92,-1.0,-0.37,0.6
1965-02,0.7,-2.2,-1.16,-2.084,-0.188,26.78,-1.03,-1.04,1.46,-0.93
1965-03,1.2,-1.99,0.04,-0.905,-0.089,27.19,-0.8,-1.17,-1.84,2.23
1965-04,-0.9,0.64,0.62,0.568,-0.108,27.72,-1.07,0.49,0.67,1.02
1965-05,0.3,-0.52,-0.66,-0.152,-0.11,28.1,-0.42,1.18,2.95,0.07
1965-06,-0.9,0.6,-0.8,0.038,-0.138,28.4,1.89,1.19,1.33,-1.56
1965-07,-3.0,0.35,-0.47,-0.51,-0.199,28.24,-1.26,2.64,0.37,0.75
1965-08,-1.1,0.45,0.2,-0.255,-0.221,28.17,0.32,1.62,1.29,2.32
1965-09,-2.2,0.51,0.59,-0.698,-0.233,28.04,0.36,-1.29,0.66,2.26
1965-10,-1.5,0.92,-0.36,0.394,-0.259,28.45,1.42,1.57,3.08,0.85
1965-11,-2.4,-1.88,-0.59,-1.341,-0.288,28.35,-0.81,1.56,-0.4,0.21
1966-01,-2.2,-2.54,-0.82,-3.232,-0.087,27.94,-0.15,0.42,-0.49,-0.36
1966-02,-0.4,-2.02,-0.03,-1.438,-0.001,27.7,-2.05,0.73,-0.02,-0.55
1966-03,-1.5,0.18,-1.29,-0.911,-0.021,28.28,0.43,-0.76,1.5,-0.94
1966-04,-0.3,-0.96,0.06,-1.837,0.032,28.29,-0.54,0.08,0.08,1.96
1966-05,-0.7,0.25,-0.53,1.124,-0.01,27.78,-0.15,0.51,0.06,-0.67
1966-06,0.5,1.37,0.16,0.408,-0.057,28.13,0.1,-1.03,0.84,0.23
1966-07,0.1,0.35,0.26,0.011,-0.067,27.9,-1.18,2.82,-1.23,-0.57
1966-08,1.1,-2.39,-0.35,-0.945,-0.055,27.2,1.26,-0.34,1.87,0.63
1966-09,-0.4,-0.29,-0.33,0.011,-0.012,27.09,0.63,0.55,2.66,1.58
1966-10,-0.2,-0.23,-1.17,-1.077,0.002,26.99,-0.61,-0.96,0.87,0.46
1966-11,-0.0,-0.18,-1.15,0.111,-0.009,27.05,-1.96,0.95,-2.94,0.74
1967-01,2.8,-1.55,-0.2,-0.576,0.07,26.36,-1.16,0.86,0.34,-0.22
1967-02,2.8,-0.23,-0.18,1.18,0.076,26.5,-0.2,-0.0,-0.52,-0.56
1967-03,2.0,1.18,-1.2,1.967,-0.046,27.04,-2.25,0.02,-0.01,0.87
1967-04,-0.1,0.05,-0.89,1.7,-0.027,27.37,-1.91,1.51,-1.07,0.14
1967-05,-0.0,-0.87,-1.24,0.127,-0.199,27.87,-0.8,-1.38,-0.18,2.02
1967-06,1.1,1.72,-1.16,0.647,-0.273,27.93,-0.33,-0.4,1.86,0.88
1967-07,0.3,0.44,-0.89,0.259,-0.242,27.41,-1.24,0.31,1.25,-0.12
1967-08,1.2,1.73,-1.24,-0.293,-0.177,26.94,-0.35,0.15,-0.8,1.1
1967-09,0.8,1.05,-0.72,0.133,-0.109,26.64,0.11,0.01,0.83,0.35
1967-10,0.1,0.59,-0.64,1.299,-0.112,26.77,1.1,-0.8,-0.25,-0.24
1967-11,-0.7,0.5,-0.05,0.334,-0.246,26.81,-0.35,-0.59,-1.66,-0.03
1968-01,0.9,-0.36,-0.95,-0.409,-0.259,26.43,-1.78,-2.08,0.62,-0.24
1968-02,2.1,-1.91,-0.4,-2.154,-0.21,26.56,1.11,-3.18,-1.26,-0.65
1968-03,0.2,0.02,-0.31,1.741,-0.221,26.83,0.13,-0.04,2.16,0.05
1968-04,0.0,-1.32,-1.03,0.328,-0.168,27.5,-1.11,-0.91,-0.01,-2.88
1968-05,2.1,-1.58,-0.53,-0.241,-0.136,27.5,0.23,-0.93,0.16,1.07
1968-06,1.8,0.64,-0.35,0.42,-0.275,28.12,-0.08,-1.19,1.26,-0.73
1968-07,1.1,-0.77,0.53,-0.836,-0.242,27.78,-0.04,1.18,2.57,1.71
1968-08,0.4,-0.97,0.19,-0.671,-0.226,27.5,1.3,0.64,-0.46,0.75
1968-09,-0.4,-1.73,0.06,-1.009,-0.162,27.19,-0.87,-0.72,0.11,-0.91
1968-10,-0.1,-1.99,-0.34,-1.013,-0.126,27.5,0.45,0.97,1.59,-0.33
1968-11,-0.6,-1.11,-0.44,-2.183,-0.12,27.86,0.83,-0.97,2.2,-0.16
1969-01,-2.4,-1.48,-1.26,-2.968,-0.075,28.12,-2.96,-0.71,0.17,0.6
1969-02,-0.9,-2.2,-0.95,-3.114,0.092,28.24,-1.97,0.61,-2.12,-0.58
1969-03,0.7,-2.04,-0.5,-1.582,0.194,28.11,0.47,0.56,1.61,-0.02
1969-04,-0.6,1.52,-0.44,0.439,0.136,28.39,0.48,1.58,0.56,0.32
1969-05,-0.4,0.56,-0.2,-0.72,-0.002,28.64,1.02,1.65,0.99,1.0
1969-06,0.3,0.86,0.89,-0.348,0.016,28.23,2.11,1.37,2.16,3.19
1969-07,-0.8,0.6,0.1,0.409,0.081,27.61,0.51,-0.61,1.61,-1.13
1969-08,-0.2,-1.99,-0.81,-0.782,-0.114,27.66,-0.69,-2.18,-0.21,-0.14
1969-09,-1.6,2.17,-0.66,-0.083,-0.12,27.76,1.31,0.25,-0.68,0.09
1969-10,-1.5,1.23,1.12,0.098,-0.198,27.85,0.55,0.32,2.33,1.67
1969-11,-0.1,-1.14,0.15,0.326,-0.137,27.78,0.13,-0.36,-2.27,-0.11
1970-01,-1.9,-2.26,0.61,-2.412,-0.023,27.37,0.12,-2.17,-0.14,0.23
1970-02,-1.7,0.28,0.43,-1.325,-0.061,27.21,1.01,0.01,-1.15,0.61
1970-03,1.0,-1.41,1.33,-2.084,0.006,27.66,0.49,-0.29,-4.17,0.62
1970-04,-0.1,-1.56,0.43,0.302,0.007,28.18,-0.66,0.87,-0.18,-0.45
1970-05,0.6,1.11,-0.49,0.531,-0.059,28.05,-0.5,-0.15,-0.2,-0.57
1970-06,1.6,1.87,0.06,0.875,-0.195,27.61,0.23,-0.13,0.36,-0.72
1970-07,-0.6,0.13,-0.68,0.139,-0.213,27.07,0.74,1.0,1.15,-1.42
1970-08,1.0,0.0,-1.63,-0.263,-0.153,26.61,-0.6,1.01,2.4,0.93
1970-09,1.9,0.06,-1.67,0.03,-0.151,26.38,-0.39,-1.5,-0.12,-0.27
1970-10,1.7,-0.49,-1.39,0.098,-0.209,26.49,-0.95,1.4,0.46,-0.72
1970-11,2.6,-0.76,-0.8,0.378,-0.253,26.37,-1.15,0.5,-0.35,-0.05
1971-01,0.6,-1.82,-1.9,-0.163,-0.259,25.46,-2.43,-2.51,-1.57,0.05
1971-02,3.3,-0.17,-1.74,-0.922,-0.305,25.8,-0.16,-1.65,0.38,-1.99
1971-03,3.8,-1.28,-1.68,-1.091,-0.323,26.31,-0.28,-0.15,-0.32,-0.22
1971-04,2.8,-0.41,-1.59,-0.583,-0.426,27.07,0.23,-0.08,0.66,-1.95
1971-05,1.4,0.51,-1.55,0.679,-0.339,27.26,1.09,0.76,0.72,-1.14
1971-06,0.7,-1.28,-1.55,-0.668,-0.376,26.99,0.51,1.64,0.95,-0.28
1971-07,0.4,0.27,-2.2,-0.579,-0.362,26.82,-1.74,0.77,0.02,2.19
1971-08,2.5,1.87,-0.15,0.818,-0.448,26.56,-0.81,-0.87,1.67,1.78
1971-09,2.3,0.53,0.21,0.153,-0.379,26.37,0.15,-0.48,-0.3,-0.39
1971-10,2.8,1.14,-0.22,1.185,-0.248,26.34,-1.35,0.86,1.94,-0.49
1971-11,0.9,-0.34,-1.25,0.419,-0.256,26.41,-0.26,0.31,-1.35,-0.34
1972-01,0.8,-0.19,-1.99,0.167,-0.331,26.49,-2.46,-0.05,0.56,-0.46
1972-02,1.8,-0.08,-1.83,-0.195,-0.393,27.05,-2.27,-2.26,-1.07,0.15
1972-03,1.1,0.35,-2.09,-0.141,-0.452,27.45,-0.1,-1.87,2.15,-1.36
1972-04,-0.2,-0.38,-1.65,1.007,-0.339,28.21,-1.95,-0.01,-0.57,-1.52
1972-05,-2.6,0.93,-1.57,0.14,-0.482,28.41,0.21,1.23,0.03,0.31
1972-06,-0.9,1.19,-1.87,-0.049,-0.501,28.44,-0.15,2.06,0.91,-2.96
1972-07,-2.4,0.21,-0.83,-0.553,-0.388,28.36,-1.13,-0.32,-0.16,2.2
1972-08,-0.8,1.57,0.25,-0.082,-0.396,28.22,-0.04,1.09,-1.63,1.76
1972-09,-2.2,0.03,0.17,-0.92,-0.316,28.19,0.13,-1.61,1.22,0.93
1972-10,-1.5,1.7,0.11,0.392,-0.299,28.5,-1.49,0.51,0.47,1.48
1972-11,-0.6,0.43,0.57,-0.38,-0.29,28.62,0.53,0.19,-0.07,-0.32
1973-01,-0.5,-0.46,-0.46,1.232,-0.387,28.25,-0.88,0.47,1.06,-0.8
1973-02,-2.3,0.52,-0.61,0.786,-0.406,28.17,-0.14,1.12,-0.89,0.95
1973-03,1.2,-0.09,-0.5,0.537,-0.357,28.0,0.53,0.56,-0.35,-1.94
1973-04,0.1,-0.73,-0.69,-1.126,-0.277,27.62,0.11,1.33,-0.32,0.6
1973-05,0.7,-0.36,-0.76,0.073,-0.182,27.54,0.67,0.71,-0.71,-1.49
1973-06,1.8,0.7,-0.97,0.531,-0.188,27.11,1.01,-1.34,-0.0,-1.3
1973-07,1.0,0.6,-0.57,0.271,-0.117,26.6,-0.26,0.42,1.35,-1.27
1973-08,2.1,-0.2,-1.14,0.312,-0.146,26.25,-0.95,0.06,1.67,-0.1
1973-09,2.0,-0.15,-0.51,0.114,-0.144,26.0,-0.27,0.06,2.91,0.68
1973-10,1.3,-0.84,-0.87,0.337,-0.229,25.79,-0.74,0.9,1.34,-0.62
1973-11,4.3,-1.11,-1.81,0.002,-0.222,25.27,-1.66,0.29,-0.34,-0.27
1974-01,4.0,1.05,-1.22,0.232,-0.289,25.13,-1.54,-3.37,0.47,-0.65
1974-02,3.4,-0.6,-1.65,-0.489,-0.296,25.65,-1.5,-0.78,-1.65,-1.12
1974-03,4.0,-0.43,-0.9,-0.746,-0.414,26.23,-1.1,-1.26,-0.86,0.32
1974-04,1.6,0.41,-0.52,0.309,-0.536,26.9,-0.73,-0.19,1.3,-0.41
1974-05,1.6,-0.17,-0.28,-0.507,-0.513,27.1,-0.4,0.36,0.72,0.03
1974-06,0.7,0.17,-0.31,-0.048,-0.46,27.42,-1.36,-0.13,1.81,-2.29
1974-07,1.9,-0.73,-0.08,0.39,-0.528,26.77,-0.09,0.81,0.33,-1.52
1974-08,1.3,-0.95,0.27,-0.533,-0.481,26.92,0.9,0.24,0.94,2.42
1974-09,1.8,0.95,0.44,-0.136,-0.519,26.76,0.35,-0.4,-0.55,2.56
1974-10,1.5,1.04,-0.1,-1.024,-0.521,26.31,0.93,-0.22,-1.46,0.18
1974-11,-0.2,-0.7,0.43,-0.435,-0.439,26.22,0.53,0.42,-0.27,-1.75
1975-01,-0.8,0.17,-0.84,1.595,-0.286,26.59,-1.2,-0.46,-0.22,-1.52
1975-02,1.3,-1.15,-0.71,0.195,-0.351,26.68,-0.51,-0.77,1.35,-0.5
1975-03,2.6,-1.04,-0.51,0.151,-0.322,26.74,-0.81,-0.46,0.85,-0.14
1975-04,1.9,-1.89,-1.3,0.409,-0.358,27.27,-0.67,0.37,-1.69,-1.57
1975-05,1.1,-0.43,-1.02,-0.614,-0.401,27.2,0.6,-0.45,-0.51,-1.21
1975-06,2.1,-0.54,-1.16,-0.323,-0.308,26.7,-0.31,-0.61,0.97,-2.09
1975-07,3.1,1.57,-0.4,0.345,-0.285,26.51,-1.53,1.59,0.45,0.6
1975-08,3.3,-0.46,-1.07,0.13,-0.198,26.02,-1.1,0.32,2.24,0.99
1975-09,3.4,1.67,-1.23,1.278,-0.349,25.73,-0.23,0.22,-0.71,0.81
1975-10,2.8,-0.08,-1.29,0.138,-0.367,25.66,-0.65,-0.0,1.63,-0.56
1975-11,1.9,0.3,-2.08,0.619,-0.354,25.82,-0.63,1.04,0.32,-1.14
1976-01,2.3,-0.8,-1.14,0.034,-0.398,25.43,-0.25,-0.71,0.61,-0.3
1976-02,2.8,0.61,-1.85,1.656,-0.454,26.21,-2.38,-0.39,0.86,0.07
1976-03,2.9,0.38,-0.96,0.587,-0.507,26.78,-1.78,-0.06,-1.58,-0.83
1976-04,0.5,0.14,-0.89,0.44,-0.439,27.43,0.92,0.92,-0.68,-1.52
1976-05,0.6,0.94,-0.68,0.06,-0.501,27.57,0.58,1.19,-0.31,-0.9
